"time","adder.y","source1.y","source2.y"
0.52,0.993673,0.49688,0.49688
0.5201,0.993847,0.496967,0.496967
0.5202,0.994021,0.497054,0.497054
0.5203,0.994194,0.49714,0.49714
0.5204,0.994368,0.497227,0.497227
0.5205,0.994541,0.497314,0.497314
0.5206,0.994715,0.497401,0.497401
0.5207,0.994888,0.497487,0.497487
0.5208,0.995062,0.497574,0.497574
0.5209,0.995235,0.497661,0.497661
0.521,0.995409,0.497748,0.497748
0.5211,0.995582,0.497834,0.497834
0.5212,0.995756,0.497921,0.497921
0.5213,0.995929,0.498008,0.498008
0.5214,0.996102,0.498095,0.498095
0.5215,0.996276,0.498181,0.498181
0.5216,0.996449,0.498268,0.498268
0.5217,0.996623,0.498355,0.498355
0.5218,0.996796,0.498441,0.498441
0.5219,0.99697,0.498528,0.498528
0.522,0.997143,0.498615,0.498615
0.5221,0.997316,0.498701,0.498701
0.5222,0.99749,0.498788,0.498788
0.5223,0.997663,0.498875,0.498875
0.5224,0.997836,0.498961,0.498961
0.5225,0.99801,0.499048,0.499048
0.5226,0.998183,0.499135,0.499135
0.5227,0.998356,0.499221,0.499221
0.5228,0.99853,0.499308,0.499308
0.5229,0.998703,0.499395,0.499395
0.523,0.998876,0.499481,0.499481
0.5231,0.999049,0.499568,0.499568
0.5232,0.999223,0.499655,0.499655
0.5233,0.999396,0.499741,0.499741
0.5234,0.999569,0.499828,0.499828
0.5235,0.999742,0.499914,0.499914
0.5236,0.999916,0.500001,0.500001
0.5237,1.00009,0.500088,0.500088
0.5238,1.00026,0.500174,0.500174
0.5239,1.00044,0.500261,0.500261
0.524,1.00061,0.500347,0.500347
0.5241,1.00078,0.500434,0.500434
0.5242,1.00095,0.500521,0.500521
0.5243,1.00113,0.500607,0.500607
0.5244,1.0013,0.500694,0.500694
0.5245,1.00147,0.50078,0.50078
0.5246,1.00165,0.500867,0.500867
0.5247,1.00182,0.500953,0.500953
0.5248,1.00199,0.50104,0.50104
0.5249,1.00217,0.501126,0.501126
0.525,1.00234,0.501213,0.501213
0.5251,1.00251,0.5013,0.5013
0.5252,1.00269,0.501386,0.501386
0.5253,1.00286,0.501473,0.501473
0.5254,1.00303,0.501559,0.501559
0.5255,1.0032,0.501646,0.501646
0.5256,1.00338,0.501732,0.501732
0.5257,1.00355,0.501819,0.501819
0.5258,1.00372,0.501905,0.501905
0.5259,1.0039,0.501992,0.501992
0.526,1.00407,0.502078,0.502078
0.5261,1.00424,0.502165,0.502165
0.5262,1.00442,0.502251,0.502251
0.5263,1.00459,0.502338,0.502338
0.5264,1.00476,0.502424,0.502424
0.5265,1.00493,0.50251,0.50251
0.5266,1.00511,0.502597,0.502597
0.5267,1.00528,0.502683,0.502683
0.5268,1.00545,0.50277,0.50277
0.5269,1.00563,0.502856,0.502856
0.527,1.0058,0.502943,0.502943
0.5271,1.00597,0.503029,0.503029
0.5272,1.00614,0.503116,0.503116
0.5273,1.00632,0.503202,0.503202
0.5274,1.00649,0.503288,0.503288
0.5275,1.00666,0.503375,0.503375
0.5276,1.00684,0.503461,0.503461
0.5277,1.00701,0.503548,0.503548
0.5278,1.00718,0.503634,0.503634
0.5279,1.00735,0.50372,0.50372
0.528,1.00753,0.503807,0.503807
0.5281,1.0077,0.503893,0.503893
0.5282,1.00787,0.503979,0.503979
0.5283,1.00805,0.504066,0.504066
0.5284,1.00822,0.504152,0.504152
0.5285,1.00839,0.504239,0.504239
0.5286,1.00856,0.504325,0.504325
0.5287,1.00874,0.504411,0.504411
0.5288,1.00891,0.504498,0.504498
0.5289,1.00908,0.504584,0.504584
0.529,1.00925,0.50467,0.50467
0.5291,1.00943,0.504757,0.504757
0.5292,1.0096,0.504843,0.504843
0.5293,1.00977,0.504929,0.504929
0.5294,1.00994,0.505016,0.505016
0.5295,1.01012,0.505102,0.505102
0.5296,1.01029,0.505188,0.505188
0.5297,1.01046,0.505274,0.505274
0.5298,1.01064,0.505361,0.505361
0.5299,1.01081,0.505447,0.505447
0.53,1.01098,0.505533,0.505533
0.5301,1.01115,0.50562,0.50562
0.5302,1.01133,0.505706,0.505706
0.5303,1.0115,0.505792,0.505792
0.5304,1.01167,0.505878,0.505878
0.5305,1.01184,0.505965,0.505965
0.5306,1.01202,0.506051,0.506051
0.5307,1.01219,0.506137,0.506137
0.5308,1.01236,0.506223,0.506223
0.5309,1.01253,0.50631,0.50631
0.531,1.01271,0.506396,0.506396
0.5311,1.01288,0.506482,0.506482
0.5312,1.01305,0.506568,0.506568
0.5313,1.01322,0.506655,0.506655
0.5314,1.0134,0.506741,0.506741
0.5315,1.01357,0.506827,0.506827
0.5316,1.01374,0.506913,0.506913
0.5317,1.01391,0.506999,0.506999
0.5318,1.01408,0.507086,0.507086
0.5319,1.01426,0.507172,0.507172
0.532,1.01443,0.507258,0.507258
0.5321,1.0146,0.507344,0.507344
0.5322,1.01477,0.50743,0.50743
0.5323,1.01495,0.507516,0.507516
0.5324,1.01512,0.507603,0.507603
0.5325,1.01529,0.507689,0.507689
0.5326,1.01546,0.507775,0.507775
0.5327,1.01564,0.507861,0.507861
0.5328,1.01581,0.507947,0.507947
0.5329,1.01598,0.508033,0.508033
0.533,1.01615,0.508119,0.508119
0.5331,1.01633,0.508206,0.508206
0.5332,1.0165,0.508292,0.508292
0.5333,1.01667,0.508378,0.508378
0.5334,1.01684,0.508464,0.508464
0.5335,1.01701,0.50855,0.50855
0.5336,1.01719,0.508636,0.508636
0.5337,1.01736,0.508722,0.508722
0.5338,1.01753,0.508808,0.508808
0.5339,1.0177,0.508894,0.508894
0.534,1.01787,0.508981,0.508981
0.5341,1.01805,0.509067,0.509067
0.5342,1.01822,0.509153,0.509153
0.5343,1.01839,0.509239,0.509239
0.5344,1.01856,0.509325,0.509325
0.5345,1.01874,0.509411,0.509411
0.5346,1.01891,0.509497,0.509497
0.5347,1.01908,0.509583,0.509583
0.5348,1.01925,0.509669,0.509669
0.5349,1.01942,0.509755,0.509755
0.535,1.0196,0.509841,0.509841
0.5351,1.01977,0.509927,0.509927
0.5352,1.01994,0.510013,0.510013
0.5353,1.02011,0.510099,0.510099
0.5354,1.02028,0.510185,0.510185
0.5355,1.02046,0.510271,0.510271
0.5356,1.02063,0.510357,0.510357
0.5357,1.0208,0.510443,0.510443
0.5358,1.02097,0.510529,0.510529
0.5359,1.02114,0.510615,0.510615
0.536,1.02132,0.510701,0.510701
0.5361,1.02149,0.510787,0.510787
0.5362,1.02166,0.510873,0.510873
0.5363,1.02183,0.510959,0.510959
0.5364,1.022,0.511045,0.511045
0.5365,1.02218,0.511131,0.511131
0.5366,1.02235,0.511217,0.511217
0.5367,1.02252,0.511303,0.511303
0.5368,1.02269,0.511389,0.511389
0.5369,1.02286,0.511475,0.511475
0.537,1.02304,0.511561,0.511561
0.5371,1.02321,0.511646,0.511646
0.5372,1.02338,0.511732,0.511732
0.5373,1.02355,0.511818,0.511818
0.5374,1.02372,0.511904,0.511904
0.5375,1.02389,0.51199,0.51199
0.5376,1.02407,0.512076,0.512076
0.5377,1.02424,0.512162,0.512162
0.5378,1.02441,0.512248,0.512248
0.5379,1.02458,0.512334,0.512334
0.538,1.02475,0.51242,0.51242
0.5381,1.02492,0.512505,0.512505
0.5382,1.0251,0.512591,0.512591
0.5383,1.02527,0.512677,0.512677
0.5384,1.02544,0.512763,0.512763
0.5385,1.02561,0.512849,0.512849
0.5386,1.02578,0.512935,0.512935
0.5387,1.02596,0.513021,0.513021
0.5388,1.02613,0.513106,0.513106
0.5389,1.0263,0.513192,0.513192
0.539,1.02647,0.513278,0.513278
0.5391,1.02664,0.513364,0.513364
0.5392,1.02681,0.51345,0.51345
0.5393,1.02699,0.513535,0.513535
0.5394,1.02716,0.513621,0.513621
0.5395,1.02733,0.513707,0.513707
0.5396,1.0275,0.513793,0.513793
0.5397,1.02767,0.513879,0.513879
0.5398,1.02784,0.513964,0.513964
0.5399,1.02801,0.51405,0.51405
0.54,1.02819,0.514136,0.514136
0.5401,1.02836,0.514222,0.514222
0.5402,1.02853,0.514308,0.514308
0.5403,1.0287,0.514393,0.514393
0.5404,1.02887,0.514479,0.514479
0.5405,1.02904,0.514565,0.514565
0.5406,1.02922,0.514651,0.514651
0.5407,1.02939,0.514736,0.514736
0.5408,1.02956,0.514822,0.514822
0.5409,1.02973,0.514908,0.514908
0.541,1.0299,0.514993,0.514993
0.5411,1.03007,0.515079,0.515079
0.5412,1.03024,0.515165,0.515165
0.5413,1.03042,0.515251,0.515251
0.5414,1.03059,0.515336,0.515336
0.5415,1.03076,0.515422,0.515422
0.5416,1.03093,0.515508,0.515508
0.5417,1.0311,0.515593,0.515593
0.5418,1.03127,0.515679,0.515679
0.5419,1.03144,0.515765,0.515765
0.542,1.03162,0.51585,0.51585
0.5421,1.03179,0.515936,0.515936
0.5422,1.03196,0.516022,0.516022
0.5423,1.03213,0.516107,0.516107
0.5424,1.0323,0.516193,0.516193
0.5425,1.03247,0.516279,0.516279
0.5426,1.03264,0.516364,0.516364
0.5427,1.03281,0.51645,0.51645
0.5428,1.03299,0.516536,0.516536
0.5429,1.03316,0.516621,0.516621
0.543,1.03333,0.516707,0.516707
0.5431,1.0335,0.516792,0.516792
0.5432,1.03367,0.516878,0.516878
0.5433,1.03384,0.516964,0.516964
0.5434,1.03401,0.517049,0.517049
0.5435,1.03418,0.517135,0.517135
0.5436,1.03436,0.51722,0.51722
0.5437,1.03453,0.517306,0.517306
0.5438,1.0347,0.517392,0.517392
0.5439,1.03487,0.517477,0.517477
0.544,1.03504,0.517563,0.517563
0.5441,1.03521,0.517648,0.517648
0.5442,1.03538,0.517734,0.517734
0.5443,1.03555,0.517819,0.517819
0.5444,1.03572,0.517905,0.517905
0.5445,1.0359,0.51799,0.51799
0.5446,1.03607,0.518076,0.518076
0.5447,1.03624,0.518162,0.518162
0.5448,1.03641,0.518247,0.518247
0.5449,1.03658,0.518333,0.518333
0.545,1.03675,0.518418,0.518418
0.5451,1.03692,0.518504,0.518504
0.5452,1.03709,0.518589,0.518589
