"time","wallTime","wc2.P.x [m]","wc2.P.v [m/s]","wc2.P.F [N]","wc1.P.x [m]","wc1.P.v [m/s]","wc1.P.F [N]"
0.328,2.01677,0.0192443,0.208978,88.7444,0.0419165,-0.21196,-88.7608
0.33,2.02072,0.0196627,0.209555,85.3899,0.0414944,-0.209376,-85.4098
0.332,2.02434,0.0200821,0.21004,82.0571,0.041078,-0.206126,-82.0806
0.334,2.06754,0.0205025,0.210433,78.7522,0.0406686,-0.202218,-78.7792
0.336,2.08184,0.0209236,0.210734,75.4811,0.0402675,-0.197657,-75.5116
0.338,2.09365,0.0213453,0.210945,72.2497,0.039876,-0.192452,-72.2837
0.34,2.10436,0.0217673,0.211066,69.0637,0.0394953,-0.186611,-69.1012
0.342,2.1109,0.0221894,0.211097,65.9291,0.0391269,-0.180146,-65.9698
0.344,2.11587,0.0226116,0.211041,62.8512,0.0387718,-0.173066,-62.8953
0.346,2.12017,0.0230336,0.210897,59.8357,0.0384313,-0.165385,-59.883
0.348,2.12398,0.0234552,0.210667,56.888,0.0381067,-0.157116,-56.9384
0.35,2.12751,0.0238763,0.210354,54.0134,0.037799,-0.148274,-54.0668
0.352,2.13076,0.0242968,0.209957,51.2169,0.0375094,-0.138874,-51.2733
0.354,2.13372,0.0247163,0.209479,48.5035,0.037239,-0.128932,-48.5628
0.356,2.13674,0.0251349,0.208922,45.8782,0.0369889,-0.118468,-45.9403
0.358,2.13974,0.0255523,0.208287,43.3456,0.0367601,-0.107497,-43.4103
0.36,2.14275,0.0259683,0.207576,40.9101,0.0365537,-0.0960416,-40.9774
0.362,2.14584,0.0263829,0.206791,38.5761,0.0363704,-0.0841202,-38.6458
0.364,2.14885,0.0267958,0.205935,36.3478,0.0362114,-0.0717544,-36.4198
0.366,2.15188,0.027207,0.205009,34.2291,0.0360774,-0.058966,-34.3033
0.368,2.155,0.0276163,0.204017,32.2237,0.0359693,-0.0457776,-32.3
0.37,2.15806,0.0280236,0.202959,30.3352,0.0358879,-0.0322126,-30.4135
0.372,2.16103,0.0284287,0.20184,28.5669,0.0358339,-0.0182949,-28.647
0.374,2.16409,0.0288315,0.20066,26.922,0.0358079,-0.0040492,-27.0037
0.376,2.16719,0.0292319,0.199424,25.4032,0.0358107,0.0104994,-25.4865
0.378,2.17025,0.0296298,0.198133,24.0134,0.0358427,0.0253251,-24.0981
0.38,2.17331,0.030025,0.196791,22.7549,0.0359047,0.0404018,-22.8408
0.382,2.1764,0.0304176,0.1954,21.6299,0.0359969,0.0557028,-21.7169
0.384,2.17952,0.0308073,0.193962,20.6404,0.0361199,0.071201,-20.7284
0.386,2.18258,0.0311941,0.192482,19.7882,0.036274,0.0868691,-19.8768
0.388,2.1857,0.0315779,0.190961,19.0745,0.0364596,0.102679,-19.1639
0.39,2.18884,0.0319587,0.189403,18.5008,0.0366769,0.118604,-18.5906
0.392,2.19191,0.0323363,0.187811,18.068,0.0369261,0.134615,-18.1581
0.394,2.19504,0.0327107,0.186187,17.7767,0.0372074,0.150684,-17.867
0.396,2.19815,0.0330819,0.184535,17.6276,0.0375208,0.166782,-17.7179
0.398,2.20131,0.0334497,0.182858,17.6207,0.0378665,0.182881,-17.7108
0.4,2.20436,0.0338141,0.181159,17.7561,0.0382443,0.198954,-17.846
0.402,2.20782,0.0341752,0.179441,18.0336,0.0386542,0.21497,-18.1229
0.404,2.21174,0.0345327,0.177706,18.4524,0.0390961,0.230903,-18.5411
0.406,2.21484,0.0348868,0.175959,19.012,0.0395698,0.246724,-19.0999
0.408,2.2181,0.0352375,0.174202,19.7112,0.040075,0.262405,-19.7982
0.41,2.22117,0.0355845,0.172438,20.5489,0.0406115,0.277919,-20.6347
0.412,2.22439,0.0359281,0.170669,21.5233,0.0411789,0.293239,-21.608
0.414,2.22764,0.0362681,0.1689,22.633,0.0417767,0.308337,-22.7162
0.416,2.23096,0.0366046,0.167133,23.8757,0.0424046,0.323186,-23.9574
0.418,2.23424,0.0369375,0.16537,25.2493,0.0430619,0.337761,-25.3293
0.42,2.23749,0.0372669,0.163615,26.7514,0.0437482,0.352037,-26.8296
0.422,2.2408,0.0375929,0.16187,28.3793,0.0444628,0.365987,-28.4555
0.424,2.24402,0.0379153,0.160139,30.1301,0.045205,0.379588,-30.2042
0.426,2.24731,0.0382343,0.158423,32.0007,0.0459742,0.392815,-32.0725
0.428,2.25057,0.0385498,0.156726,33.9877,0.0467695,0.405646,-34.0572
0.43,2.25382,0.038862,0.155049,36.0877,0.0475902,0.418058,-36.1547
0.432,2.2571,0.0391709,0.153396,38.297,0.0484353,0.430028,-38.3613
0.434,2.26047,0.0394765,0.151769,40.6116,0.0493041,0.441537,-40.6732
0.436,2.26382,0.0397788,0.15017,43.0274,0.0501955,0.452563,-43.0862
0.438,2.2672,0.040078,0.148601,45.5404,0.0511086,0.463088,-45.5962
0.44,2.27054,0.040374,0.147065,48.1459,0.0520424,0.473093,-48.1987
0.442,2.27391,0.040667,0.145563,50.8395,0.0529957,0.48256,-50.8891
0.444,2.27739,0.040957,0.144097,53.6164,0.0539676,0.491474,-53.6627
0.446,2.28085,0.0412441,0.14267,56.4717,0.0549569,0.499817,-56.5148
0.448,2.28437,0.0415284,0.141283,59.4006,0.0559625,0.507576,-59.4402
0.45,2.28792,0.04181,0.139938,62.3978,0.0569831,0.514737,-62.4339
0.452,2.29141,0.0420889,0.138635,65.4581,0.0580176,0.521287,-65.4907
0.454,2.29502,0.0423652,0.137378,68.5762,0.0590647,0.527216,-68.6052
0.456,2.29863,0.042639,0.136166,71.7467,0.0601232,0.532511,-71.772
0.458,2.30217,0.0429105,0.135001,74.964,0.0611918,0.537165,-74.9856
0.46,2.30579,0.0431796,0.133885,78.2226,0.0622692,0.541169,-78.2404
0.462,2.30969,0.0434466,0.132818,81.5168,0.0633542,0.544516,-81.5309
0.464,2.3133,0.0437115,0.131801,84.8409,0.0644453,0.547199,-84.8512
0.466,2.31692,0.0439743,0.130834,88.1892,0.0655414,0.549215,-88.1956
0.468,2.32048,0.0442353,0.129919,91.5559,0.0666409,0.550559,-91.5584
0.47,2.3239,0.0444945,0.129056,94.9351,0.0677426,0.551229,-94.9337
0.472,2.32742,0.044752,0.128245,98.3211,0.0688452,0.551224,-98.3158
0.474,2.33091,0.0450079,0.127487,101.708,0.0699472,0.550544,-101.699
0.476,2.33442,0.0452623,0.126781,105.09,0.0710474,0.549189,-105.077
0.478,2.33797,0.0455154,0.126128,108.461,0.0721444,0.547162,-108.444
0.48,2.34151,0.0457672,0.125527,111.816,0.0732368,0.544466,-111.795
0.482,2.34504,0.0460178,0.124978,115.149,0.0743233,0.541106,-115.124
0.484,2.34862,0.0462674,0.124481,118.453,0.0754026,0.537086,-118.425
0.486,2.35221,0.046516,0.124035,121.724,0.0764734,0.532415,-121.692
0.488,2.35579,0.0467638,0.12364,124.956,0.0775343,0.5271,-124.92
0.49,2.35942,0.0470108,0.123295,128.144,0.0785841,0.52115,-128.104
0.492,2.363,0.0472572,0.122999,131.281,0.0796216,0.514574,-131.238
0.494,2.36663,0.047503,0.122752,134.363,0.0806455,0.507384,-134.316
0.496,2.37029,0.0477483,0.122551,137.385,0.0816545,0.499592,-137.335
0.498,2.37433,0.0479933,0.122396,140.341,0.0826475,0.491212,-140.287
0.5,2.37901,0.048238,0.122286,143.226,0.0836233,0.482256,-143.169
0.502,2.38297,0.0484825,0.122219,146.036,0.0845807,0.472742,-145.976
0.504,2.38672,0.0487269,0.122194,148.766,0.0855187,0.462683,-148.703
0.506,2.39044,0.0489713,0.122209,151.411,0.0864363,0.452098,-151.345
0.508,2.3942,0.0492158,0.122262,153.967,0.0873322,0.441004,-153.898
0.51,2.39796,0.0494604,0.122353,156.43,0.0882056,0.429421,-156.358
0.512,2.40211,0.0497052,0.122477,158.796,0.0890555,0.417366,-158.721
0.514,2.40582,0.0499502,0.122635,161.061,0.0898809,0.404861,-160.983
0.516,2.40976,0.0501956,0.122824,163.22,0.090681,0.391927,-163.14
0.518,2.41416,0.0504414,0.123041,165.271,0.0914549,0.378585,-165.189
0.52,2.41772,0.0506877,0.123284,167.211,0.0922018,0.364858,-167.127
0.522,2.42135,0.0509345,0.123552,169.036,0.092921,0.350769,-168.949
0.524,2.42524,0.0511818,0.123842,170.743,0.0936118,0.33634,-170.655
0.526,2.42903,0.0514297,0.124151,172.33,0.0942735,0.321597,-172.239
0.528,2.43302,0.0516782,0.124478,173.794,0.0949054,0.306564,-173.702
0.53,2.43697,0.0519275,0.124819,175.132,0.0955071,0.291266,-175.039
0.532,2.44096,0.0521774,0.125172,176.344,0.096078,0.275728,-176.249
0.534,2.445,0.052428,0.125535,177.427,0.0966177,0.259976,-177.331
0.536,2.449,0.0526793,0.125904,178.379,0.0971257,0.244037,-178.282
0.538,2.45301,0.0529314,0.126278,179.2,0.0976018,0.227936,-179.101
0.54,2.45705,0.0531842,0.126653,179.887,0.0980455,0.2117,-179.788
0.542,2.46136,0.0534378,0.127027,180.441,0.0984566,0.195356,-180.341
0.544,2.4651,0.0536922,0.127397,180.86,0.098835,0.178931,-180.76
0.546,2.4692,0.0539472,0.12776,181.145,0.0991805,0.162452,-181.044
0.548,2.47318,0.054203,0.128114,181.294,0.0994931,0.145946,-181.193
0.55,2.47721,0.0544595,0.128456,181.309,0.0997726,0.129439,-181.208
0.552,2.5231,0.0547167,0.128783,181.189,0.100019,0.112959,-181.088
0.554,2.54403,0.0549745,0.129093,180.935,0.100233,0.0965328,-180.834
0.556,2.56191,0.0552329,0.129382,180.548,0.100413,0.0801866,-180.447
0.558,2.57973,0.0554918,0.129648,180.028,0.100562,0.063947,-179.928
0.56,2.58759,0.0557513,0.129889,179.378,0.100677,0.0478402,-179.279
0.562,2.59399,0.0560113,0.130101,178.598,0.100761,0.0318921,-178.5
0.564,2.64409,0.0562716,0.130282,177.691,0.100813,0.0161283,-177.593
0.566,2.66467,0.0565323,0.13043,176.657,0.100834,0.000573812,-176.561
0.568,2.68185,0.0567932,0.130542,175.5,0.100823,-0.0147465,-175.405
0.57,2.70248,0.0570544,0.130615,174.222,0.100782,-0.0298085,-174.129
0.572,2.71743,0.0573156,0.130648,172.825,0.100712,-0.0445883,-172.733
0.574,2.72706,0.0575769,0.130637,171.312,0.100612,-0.0590628,-171.222
0.576,2.73594,0.0578382,0.13058,169.687,0.100483,-0.0732093,-169.598
0.578,2.74134,0.0580993,0.130476,167.951,0.100326,-0.087006,-167.864
0.58,2.74588,0.0583601,0.130321,166.109,0.100142,-0.100432,-166.024
0.582,2.75019,0.0586206,0.130115,164.164,0.0999311,-0.113465,-164.081
0.584,2.75426,0.0588806,0.129854,162.12,0.0996947,-0.126088,-162.04
0.586,2.7589,0.0591401,0.129537,159.981,0.0994333,-0.138279,-159.903
0.588,2.76411,0.0593989,0.129162,157.75,0.0991478,-0.150022,-157.675
