"time","wallTime","wc2.P.R[cG][cG](1) [m]","wc2.P.R[cG][cG](2) [m]","wc2.P.R[cG][cG](3) [m]","wc2.P.phi[cG](1) [rad]","wc2.P.phi[cG](2) [rad]","wc2.P.phi[cG](3) [rad]","wc2.P.A(1,1) [-]","wc2.P.A(1,2) [-]","wc2.P.A(1,3) [-]","wc2.P.A(2,1) [-]","wc2.P.A(2,2) [-]","wc2.P.A(2,3) [-]","wc2.P.A(3,1) [-]","wc2.P.A(3,2) [-]","wc2.P.A(3,3) [-]","wc2.P.vR[cG][cG,cG](1) [m/s]","wc2.P.vR[cG][cG,cG](2) [m/s]","wc2.P.vR[cG][cG,cG](3) [m/s]","wc2.P.Omega[cG][cG](1) [rad/s]","wc2.P.Omega[cG][cG](2) [rad/s]","wc2.P.Omega[cG][cG](3) [rad/s]","wc2.P.F_tie[cG](1) [N]","wc2.P.F_tie[cG](2) [N]","wc2.P.F_tie[cG](3) [N]","wc2.P.M_tie[cG][cG](1) [Nm]","wc2.P.M_tie[cG][cG](2) [Nm]","wc2.P.M_tie[cG][cG](3) [Nm]","wc1.P.R[cG][cG](1) [m]","wc1.P.R[cG][cG](2) [m]","wc1.P.R[cG][cG](3) [m]","wc1.P.phi[cG](1) [rad]","wc1.P.phi[cG](2) [rad]","wc1.P.phi[cG](3) [rad]","wc1.P.A(1,1) [-]","wc1.P.A(1,2) [-]","wc1.P.A(1,3) [-]","wc1.P.A(2,1) [-]","wc1.P.A(2,2) [-]","wc1.P.A(2,3) [-]","wc1.P.A(3,1) [-]","wc1.P.A(3,2) [-]","wc1.P.A(3,3) [-]","wc1.P.vR[cG][cG,cG](1) [m/s]","wc1.P.vR[cG][cG,cG](2) [m/s]","wc1.P.vR[cG][cG,cG](3) [m/s]","wc1.P.Omega[cG][cG](1) [rad/s]","wc1.P.Omega[cG][cG](2) [rad/s]","wc1.P.Omega[cG][cG](3) [rad/s]","wc1.P.F_tie[cG](1) [N]","wc1.P.F_tie[cG](2) [N]","wc1.P.F_tie[cG](3) [N]","wc1.P.M_tie[cG][cG](1) [Nm]","wc1.P.M_tie[cG][cG](2) [Nm]","wc1.P.M_tie[cG][cG](3) [Nm]"
0.00328,1.86078,0.5,0,2.09545e-05,0,-4.42421e-05,0,1,0,4.42421e-05,0,1,0,-4.42421e-05,0,1,-0.000128539,0,0.0124974,0,-0.0292186,0,9.73076,0,5.89501,0,1.74795,0,0.5,0,2.10675e-05,0,1.57075,0,4.21349e-05,0,-1,0,1,0,1,0,4.21349e-05,-5.29005e-07,-0,0.012555,0,-0.0251101,0,-9.44961,-0,-10.2333,0,-1.56878,0
0.00338,1.86318,0.5,0,2.22189e-05,0,-4.7244e-05,0,1,0,4.7244e-05,0,1,0,-4.7244e-05,0,1,-0.000159774,0,0.0128088,0,-0.0308685,0,10.8525,0,6.29045,0,2.11002,0,0.5,0,2.23383e-05,0,1.57075,0,4.46765e-05,0,-1,0,1,0,1,0,4.46765e-05,-5.75438e-07,-0,0.0128801,0,-0.0257602,0,-10.6175,-0,-10.8624,0,-1.94138,0
0.00348,1.86557,0.5,0,2.35154e-05,0,-5.04008e-05,0,1,0,5.04008e-05,0,1,0,-5.04008e-05,0,1,-0.00018312,0,0.0131415,0,-0.0323008,0,12.1203,0,6.73066,0,2.51921,0,0.5,0,2.36424e-05,0,1.57075,0,4.72848e-05,0,-1,0,1,0,1,0,4.72848e-05,-6.25245e-07,-0,0.013223,0,-0.0264459,0,-11.9403,-0,-11.5773,0,-2.36329,0
0.00358,1.86796,0.5,0,2.48462e-05,0,-5.36896e-05,0,1,0,5.36896e-05,0,1,0,-5.36896e-05,0,1,-0.000197768,0,0.0134975,0,-0.0334927,0,13.4739,0,7.19495,0,2.95616,0,0.5,0,2.49817e-05,0,1.57075,0,4.99635e-05,0,-1,0,1,0,1,0,4.99635e-05,-6.78763e-07,-0,0.0135852,0,-0.0271704,0,-13.3555,-0,-12.3439,0,-2.81449,0
0.00368,1.87037,0.5,0,2.62138e-05,0,-5.70856e-05,0,1,0,5.70856e-05,0,1,0,-5.70856e-05,0,1,-0.000203314,0,0.0138776,0,-0.0344325,0,14.8513,0,7.66216,0,3.4008,0,0.5,0,2.63583e-05,0,1.57074,0,5.27165e-05,0,-1,0,1,0,1,0,5.27165e-05,-7.36315e-07,-0,0.0139675,0,-0.0279349,0,-14.7979,-0,-13.127,0,-3.27427,0
0.00378,1.87277,0.5,0,2.76206e-05,0,-6.05636e-05,0,1,0,6.05636e-05,0,1,0,-6.05636e-05,0,1,-0.000199767,0,0.0142815,0,-0.0351202,0,16.1909,0,8.11159,0,3.8333,0,0.5,0,2.77739e-05,0,1.57074,0,5.55479e-05,0,-1,0,1,0,1,0,5.55479e-05,-7.98196e-07,-0,0.0143695,0,-0.028739,0,-16.2031,-0,-13.8915,0,-3.72209,0
0.00388,1.87515,0.5,0,2.90688e-05,0,-6.40988e-05,0,1,0,6.40988e-05,0,1,0,-6.40988e-05,0,1,-0.00018754,0,0.0147079,0,-0.0355667,0,17.4348,0,8.52388,0,4.23488,0,0.5,0,2.92307e-05,0,1.57074,0,5.84614e-05,0,-1,0,1,0,1,0,5.84614e-05,-8.64659e-07,-0,0.0147902,0,-0.0295805,0,-17.5101,-0,-14.6042,0,-4.1385,0
0.00398,1.8775,0.5,0,3.05607e-05,0,-6.76679e-05,0,1,0,6.76679e-05,0,1,0,-6.76679e-05,0,1,-0.000167413,0,0.0151545,0,-0.0357934,0,18.5306,0,8.88184,0,4.58868,0,0.5,0,3.07304e-05,0,1.57073,0,6.14608e-05,0,-1,0,1,0,1,0,6.14608e-05,-9.35909e-07,-0,0.0152277,0,-0.0304555,0,-18.6639,-0,-15.2351,0,-4.50598,0
0.00408,1.8796,0.5,0,3.2098e-05,0,-7.12505e-05,0,1,0,7.12505e-05,0,1,0,-7.12505e-05,0,1,-0.000140499,0,0.0156183,0,-0.0358307,0,19.434,0,9.17119,0,4.88039,0,0.5,0,3.22745e-05,0,1.57073,0,6.4549e-05,0,-1,0,1,0,1,0,6.4549e-05,-1.01209e-06,-0,0.0156794,0,-0.0313589,0,-19.6178,-0,-15.7585,0,-4.80966,0
0.00418,1.88196,0.5,0,3.36824e-05,0,-7.48292e-05,0,1,0,7.48292e-05,0,1,0,-7.48292e-05,0,1,-0.000108176,0,0.0160955,0,-0.0357165,0,20.1104,0,9.38104,0,5.09885,0,0.5,0,3.38644e-05,0,1.57073,0,6.77287e-05,0,-1,0,1,0,1,0,6.77287e-05,-1.09329e-06,-0,0.0161422,0,-0.0322843,0,-20.3352,-0,-16.1544,0,-5.03789,0
